"","logged_edits","logged_manual_edits","active_days","simple_total","complex_total","community_total","other_total","local_talk_total","community_talk_total","kFit","mFit"
"1",5.31811999384422,0,0,0,0,0,0,0,0,3,1
"2",4.77912349311153,0,0,0,0,0,0,0,0,3,1
"3",3.98898404656427,0,0,0,0,0,0,0,0,3,1
"4",4.95582705760126,4.76217393479776,17,0.146551724137931,0.0603448275862069,0.362068965517241,0.120689655172414,0.172413793103448,0.137931034482759,4,3
"5",7.34277918933185,4.84418708645859,21,0.174603174603175,0.0476190476190476,0.261904761904762,0.0952380952380952,0.349206349206349,0.0714285714285714,4,3
"6",3.76120011569356,3.71357206670431,13,0.05,0.2,0.275,0.075,0.125,0.275,4,3
"7",5.88610403145016,5.70044357339069,24,0.0268456375838926,0.345637583892617,0.167785234899329,0.164429530201342,0.241610738255034,0.0536912751677852,1,2
"8",5.30330490805908,5.27299955856375,20,0.0618556701030928,0.293814432989691,0.216494845360825,0.170103092783505,0.170103092783505,0.0876288659793814,4,3
"9",5.20948615284142,5.15329159449778,17,0.0465116279069767,0.0755813953488372,0.302325581395349,0.453488372093023,0.0930232558139535,0.0290697674418605,4,3
"10",4.67282883446191,4.45434729625351,18,0,0.164705882352941,0.270588235294118,0.152941176470588,0.223529411764706,0.188235294117647,4,3
"11",4.96284463025991,4.93447393313069,15,0.0434782608695652,0.072463768115942,0.130434782608696,0.5,0.188405797101449,0.0652173913043478,4,3
"12",4.95582705760126,4.85981240436167,20,0.171875,0.09375,0.09375,0.140625,0.3984375,0.1015625,4,3
"13",8.21202580462344,7.4730690880322,27,0.0022740193291643,0.939738487777146,0.0267197271176805,0.00341102899374645,0.015349630471859,0.0125071063104036,1,2
"14",8.88972179927814,8.17554759602103,29,0.00703828828828829,0.96143018018018,0.00253378378378378,0.00197072072072072,0.0205518018018018,0.00647522522522523,1,2
"15",8.52118521268578,7.78280726283969,27,0.00208507089241034,0.959966638865721,0.00750625521267723,0.00500417014178482,0.0170975813177648,0.00834028356964137,1,2
"16",5.35185813347607,5.32300997913841,23,0.0147058823529412,0.382352941176471,0.21078431372549,0.147058823529412,0.132352941176471,0.112745098039216,1,2
"17",5.72031177660741,5.63121178182137,21,0.0503597122302158,0.0575539568345324,0.276978417266187,0.428057553956835,0.0431654676258993,0.143884892086331,4,3
